Company Name,Company Profile URL,Job Title,Job Posting URL,Portal,Country,Tier Signal,Date
NewsletterJobs.io,https://www.linkedin.com/company/newsletterjobs-io,Lifecycle Marketing Specilaist,https://www.linkedin.com/jobs/view/lifecycle-marketing-specilaist-at-newsletterjobs-io-4445998472?_l=en,LinkedIn,United States,Email Marketer,
Integra Beauty,https://www.linkedin.com/company/integrabeauty,Email Marketing Specialist (On-Site),https://www.linkedin.com/jobs/view/email-marketing-specialist-on-site-at-integra-beauty-4447090239?_l=en,LinkedIn,United States,Email Marketer,
Inhabit®,https://www.linkedin.com/company/inhabit-iq,Email Marketing Manager,https://www.linkedin.com/jobs/view/email-marketing-manager-at-inhabit%C2%AE-4443601941?_l=en,LinkedIn,United States,Email Marketer,
Soho House & Co,https://uk.linkedin.com/company/sohohouse,Global CRM Executive,https://www.linkedin.com/jobs/view/global-crm-executive-at-soho-house-co-4446512240?_l=en,LinkedIn,United States,Email Marketer,
University of Pittsburgh,https://www.linkedin.com/school/university-of-pittsburgh,Email Marketing Specialist,https://www.linkedin.com/jobs/view/email-marketing-specialist-at-university-of-pittsburgh-4447089761?_l=en,LinkedIn,United States,Email Marketer,
Practical Farmers of Iowa,https://www.linkedin.com/company/practical-farmers-of-iowa,Senior Email Marketing Coordinator,https://www.linkedin.com/jobs/view/senior-email-marketing-coordinator-at-practical-farmers-of-iowa-4445477385?_l=en,LinkedIn,United States,Email Marketer,
"Generational Equity, LLC",https://www.linkedin.com/company/generational-equity-llc-,"Email Marketing Specialist, M&A",https://www.linkedin.com/jobs/view/email-marketing-specialist-m-a-at-generational-equity-llc-4445243625?_l=en,LinkedIn,United States,Email Marketer,
A Hiring Company,https://www.linkedin.com/company/a-hiring-company,CRM Manager,https://www.linkedin.com/jobs/view/crm-manager-at-a-hiring-company-4446918499?_l=en,LinkedIn,United States,Email Marketer,
Cella,https://www.linkedin.com/company/cella-inc,Email Marketing Content Specialist,https://www.linkedin.com/jobs/view/email-marketing-content-specialist-at-cella-4446908547?_l=en,LinkedIn,United States,Email Marketer,
Maui Jim Sunglasses,https://www.linkedin.com/company/mauijim,Paid Search Specialist,https://www.linkedin.com/jobs/view/paid-search-specialist-at-maui-jim-sunglasses-4446444092?_l=en,LinkedIn,United States,Email Marketer,
SOREL,https://www.linkedin.com/company/sorel,SOREL Senior Email Marketing Specialist,https://www.linkedin.com/jobs/view/sorel-senior-email-marketing-specialist-at-sorel-4437931625?_l=en,LinkedIn,United States,Email Marketer,
9Rooftops,https://www.linkedin.com/company/9rooftops,CRM Manager,https://www.linkedin.com/jobs/view/crm-manager-at-9rooftops-4447211306?_l=en,LinkedIn,United States,Email Marketer,
